phenotype_id,phenotype_name,ltc_id,ltc_name,sex,ltc_type,body_system,code_type,code,description
OSTE,Osteoarthritis and degenerative joint disease,SPON,Spondylosis and osteoarthritis of the spine,either,physical,rheumatological,icd9cm,,
PANC,Chronic pancreatitis,PANC,Chronic pancreatitis,either,physical,gastrointestinal,icd9cm,,
PARK,Parkinson's disease and related conditions,PARD,Parkinson's disease,either,physical,neurological,icd9cm,,
PARK,Parkinson's disease and related conditions,PDPL,Atypical parkinsonian disorders,either,physical,neurological,icd9cm,,
PCOS,Polycystic ovarian syndrome,PCOS,Polycystic ovarian syndrome,female only,physical,gynaecological,icd9cm,,
PERS,Personality disorder,PERS,Personality disorder,either,mental,mental health,icd9cm,,
PHTN,Pulmonary hypertension,PHTN,Pulmonary hypertension,either,physical,respiratory,icd9cm,,
PLSY,Cerebral palsy,PLSY,Cerebral palsy,either,physical,neurological,icd9cm,,
PNEU,Peripheral neuropathy,ENTP,Upper limb peripheral nerve entrapment neuropathy,either,physical,neurological,icd9cm,,
PNEU,Peripheral neuropathy,MERA,Meralgia paresthetica,either,physical,neurological,icd9cm,,
PNEU,Peripheral neuropathy,NPTY,Generalised and unspecified neuropathy,either,physical,neurological,icd9cm,,
PRIM,Primary solid organ malignancy,BCNS,Cancer of brain and central nervous system,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,BLAD,Bladder cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,BREA,Breast cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,CERV,Cervical cancer (CERV),female only,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,COLO,"Colon, rectal and anal cancer",either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,CONN,Cancer of the bone and connective tissues,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,FEMA,Cancer of other female genital organs,female only,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,GICA,Cancer of other gastrointestinal organs and peritoneum,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,HENE,Head and neck cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,LIVE,Liver and intrahepatic bile duct cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,LUNG,Lung and bronchus cancers,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,MALE,Cancer of other male genital organs,male only,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,OESO,Oesophageal cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,OPRI,Other forms of cancer (including cancer of unknown primary),either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,OVAR,Ovarian cancer,female only,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,PANR,Pancreatic cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,PROT,Prostate cancer,male only,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,RENA,Renal cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,STOM,Stomach cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,TEST,Testicular cancer,male only,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,THOR,Other respiratory and intrathoracic cancers,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,THRO,Thyroid cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,UPRI,Unspecified cancer,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,UROT,Cancer of other urinary organs,either,physical,oncological,icd9cm,,
PRIM,Primary solid organ malignancy,UTER,Endometrial and uterine cancer,female only,physical,oncological,icd9cm,,
PROS,Chronic prostate disorders (â),BPHP,Benign prostatic hyperplasia,either,physical,urological,icd9cm,,
PROS,Chronic prostate disorders (â),CPRO,Chronic prostatitis,either,physical,urological,icd9cm,,
PTSD,Post-traumatic stress disorder,PTSD,Post-traumatic stress disorder,either,mental,mental health,icd9cm,,
PULD,Peptic ulcer disease,PULD,Peptic ulcer disease,either,physical,gastrointestinal,icd9cm,,
REFL,"Chronic dyspepsia, gastritis, and reflux disease",REFL,"Chronic dyspepsia, gastritis, and reflux disease",either,physical,gastrointestinal,icd9cm,,
REST,Restless leg syndrome,REST,Restless leg syndrome,either,physical,neurological,icd9cm,,
RHEU,Inflammatory and multisystem polyarthropathies,ENAR,Enteropathic arthropathy,either,physical,rheumatological,icd9cm,,
RHEU,Inflammatory and multisystem polyarthropathies,OTAR,Other inflammatory and multisystem polyarthropathies,either,physical,rheumatological,icd9cm,,
RHEU,Inflammatory and multisystem polyarthropathies,PSAR,Psoriatic arthropathy,either,physical,rheumatological,icd9cm,,
RHEU,Inflammatory and multisystem polyarthropathies,REAR,Reactive and post-infectious arthropathy,either,physical,rheumatological,icd9cm,,
